genus_species,Elo_Progen2_medium_ll_mean,Elo_Progen2_medium_ll_SE,Elo_Progen2_base_ll_mean,Elo_Progen2_base_ll_SE,Elo_Progen2_large_ll_mean,Elo_Progen2_large_ll_SE,Elo_Progen2_xlarge_ll_mean,Elo_Progen2_xlarge_ll_SE,Elo_Progen2_BFD90_ll_mean,Elo_Progen2_BFD90_ll_SE,Elo_ESM2_650M_pppl_mean,Elo_ESM2_650M_pppl_SE,Elo_ESM2_3B_pppl_mean,Elo_ESM2_3B_pppl_SE,Elo_ESM2_15B_pppl_mean,Elo_ESM2_15B_pppl_SE
Trichormus variabilis,1409.7417241015023,25.460896736465035,1409.8007493047544,24.982903223767092,1393.342041844745,23.595204312107132,1566.8547663424772,23.182794964232674,1504.704273241322,24.378611711723142,1501.830611820256,27.463562270843802,1449.2378856527084,31.89723612953153,1415.2247356871455,30.112870941770257
Phytophthora infestans,1086.9797899716473,17.226985896157895,1234.773036868281,24.11339711984827,1097.5455381767845,17.29496049948124,1108.6365511651763,14.264969039898547,1048.3480979843323,15.887612325739111,1239.3225284017885,21.33790840526858,1234.3750868942016,21.464810147079714,1235.7731279886011,20.937449959766525
Monodelphis domestica,1737.1634510977171,5.37938586212047,1765.5554695502776,7.845897901985209,1768.8585899292486,6.705673882452322,1697.787911178584,4.909480438406572,1744.592207632756,5.29084877692635,1568.0651290528153,11.741147377066694,1494.3146266131682,11.482069347710775,1486.3901835520287,9.38671718663304
Entamoeba histolytica,766.9926707700331,8.817232241129316,881.6779778294948,10.820283032207149,831.9411563176753,10.626055995543203,661.0334428392758,6.5547331955866515,724.163721874274,9.807760855121693,1067.4155467592561,18.877315376285186,1063.4563442066435,16.43437640042426,1054.6034370104837,17.684080476606017
Culex quinquefasciatus,1426.775827909348,18.218456863747537,1499.0899329769306,21.03081312959397,1456.3993707136824,18.300164559329176,1343.7026193718953,17.335288367474313,1384.9311959790357,18.818249636299672,1342.141024236637,22.577561691803226,1407.504789013028,23.355206576317773,1403.4335219618824,25.746298091202167
Branchiostoma floridae,1346.2259479294955,10.983753511770944,1499.268960960693,19.563285698081483,1378.358320446124,11.282594257526327,1171.2901068057408,11.04987832490197,1269.6839883337398,11.082267335530227,1236.8274496286074,17.480862448170683,1249.1764390278147,13.5852538830168,1240.7785114105645,12.943299634963646
Treponema pallidum,724.5406335815969,12.729225245717581,887.3743123344823,14.155170641338529,718.8638292588228,11.998203987551662,633.5994382622032,11.338518331904552,668.5064073449004,10.917757580235143,1128.9053194586932,18.32919436981809,1051.5650058565714,20.612067513600653,1036.702296073528,18.962947065948686
Rhodopseudomonas palustris,1484.5480644759969,25.329592281499135,1464.635177460013,22.1506132385741,2017.4174632347488,23.37406691729145,1447.5963747811388,20.102083359063933,1461.5246058590421,21.05370840723707,1480.3196083073874,30.407065658925113,1481.3587714260398,29.186138426613677,1436.6896862918154,27.36115603555803
Staphylococcus aureus,1386.745490319464,19.362160838080076,1422.6625837393879,19.64877205835882,1356.5624447955745,20.868711024683464,1353.8225440993303,18.209683225212792,1367.2624152154076,18.088509785033082,1617.9388266675678,22.88921858741219,1621.7984589073508,24.297452888010064,1586.4005883295667,25.17750197596436
Neisseria meningitidis,1391.5661121614403,24.09422969815554,1320.719301837538,22.08910974289082,1376.0128993980093,23.54382860181108,1308.6366298403666,22.263520583236847,1332.6290210562993,24.296630266170236,1484.575533079752,21.627541903628607,1515.894400123846,24.909665153341447,1491.0024140761961,26.27072271651255
Aliivibrio fischeri,1678.8691551096551,20.24289687286574,1520.2803331052644,26.602576663056986,1655.7474736859085,21.847151643355637,1635.7761635993447,18.935109825113987,1657.5786986702276,21.845178457561317,1633.2119755679576,24.764251462242417,1594.040495337348,25.55854732231601,1547.1879354956402,26.94295527166972
Chromobacterium violaceum,1597.3849662782782,25.038306172121327,1485.1851527802696,24.318168592967154,1576.3707780834575,22.551401883400395,1457.5707220982624,16.368359383144067,1536.583865063363,21.579092336637476,1554.9756208014028,24.101084098593763,1513.7913404417495,24.163952537952614,1493.7405816643452,23.229229720863522
Thermotoga maritima,1101.754456716786,25.586809548527793,1186.7093033518295,24.887077136853712,1047.1884462064763,21.303966193845206,930.9183668902971,18.05584899260732,1037.0003679854967,21.59696735051782,1684.8312098420965,30.665104605815163,1628.6403872812898,31.25151440382372,1525.4094846171931,30.053282898931553
Buchnera aphidicola,1104.4407417467833,24.910040666259842,1118.5458932064237,23.06056602821704,1083.6824930143923,29.483815657431933,1107.049413352822,27.422952867466847,1097.9957236295809,27.376094883497423,1322.6647270806695,22.492723888433805,1228.1639472130307,21.457541172851275,1194.0218432487404,22.98510755500797
Bacillus anthracis,1797.1766650128814,20.029694086903547,1714.0332310673891,20.91073094913005,1726.5795066100754,20.606645465648405,1668.734072505094,17.22273582111534,1764.609878134705,17.929437514649088,1799.562374640776,23.57957901404882,1746.7993039824867,24.301470249129512,1729.8766491391473,25.70611449427657
Methanocaldococcus jannaschii,762.8738739132247,12.754034548148754,1085.5251372581524,35.78250420990641,689.2979475545173,11.89209211268603,741.3291196593221,16.6814412207762,732.4002696504645,13.798474932791208,1545.2026159812867,35.57254497120021,1509.124491561069,33.3299117218701,1449.3098364769526,33.613192756476984
Oryctolagus cuniculus,1952.490745053058,34.073128924044866,1913.2363036187778,20.460483062304718,1912.468038040125,32.13226972842062,1940.3261598634178,32.466932429534964,1957.3763224363329,33.29622069229497,1621.2623974460025,27.72219285645599,1663.5687986278797,26.80660082036372,1634.9057285658862,27.490140964455733
Xenopus tropicalis,1808.1385577450649,29.67450965556362,1770.8461693506529,29.366925737448046,1787.1438089465012,28.44381881946341,1759.9579311327795,28.00711125074399,1786.7731796533358,28.461021688942147,1507.7181978816752,25.45918182086617,1554.6616331878304,24.65443617653614,1580.6721640967914,22.230740348204883
Shigella flexneri,1888.2829420133162,21.11159499264743,1691.0916789326395,32.02091067275955,1858.9324722400488,23.184911038750155,2033.6641433753275,21.55868020219109,1953.986994970761,21.767684971933875,1756.0163003825537,28.656199604226316,1752.324306966664,31.71467864394244,1751.0293587782332,32.73988994265451
Yersinia pestis,1813.6709581880086,20.266408241785914,1624.6225508452678,27.169568577609972,1755.9513734914758,23.743587291333075,1866.8858595419972,23.484665353891295,1830.2313182485727,24.985811141376495,1734.7403357629946,30.25408493311676,1693.9692519127268,23.748349853801233,1674.8333356162157,28.83157087229119
Mus musculus,2122.7397767898788,21.912727707312115,2045.5906108456245,22.32004829802886,2084.5259765750116,21.58141980223521,2225.8361941256157,16.41785752784499,2194.9903695942335,16.685891553936994,1567.2673073661388,34.04838150140918,1676.7024491046752,33.29469837954922,1701.656845758295,30.595002059788126
Ambystoma mexicanum,1899.7594991765156,2.635981268773853,1854.73675725219,3.3556461621582434,1858.8679638350543,2.7902926781351516,1778.4884878503262,1.89385418716525,1904.0330837501276,2.677467833240272,1185.7581996582046,2.39572292118383,1183.8141679804926,2.3779533512403037,1252.893787041982,2.7071394091634504
Brugia malayi,1081.629597257977,25.099151054194834,1194.8899529315092,30.221424339021745,1087.224500855885,22.985088729436246,1096.2158609194316,21.85776308099716,987.9770185452402,14.864808369221594,1133.0865057691344,30.741136315861453,1199.506614724166,27.936925948128383,1292.4766435606732,28.644353877030223
Bradyrhizobium diazoefficiens,1471.9309369515017,24.538931004545745,1457.1134268020544,23.849854987081578,2030.944578080381,22.140112126825695,1428.7667262147186,24.094054557532736,1446.1913168331687,22.525757517591256,1472.6131387870512,29.999394656102854,1476.479011281176,26.153740388654594,1444.1036384209028,26.156693818991116
Aquifex aeolicus,917.688395616271,18.10133043777389,1084.891165444164,24.04588952982524,881.3058771757649,16.75396225623142,778.1988459231467,18.301896062349247,849.5264467504894,16.896512198020346,1548.8978364212057,38.68078814550808,1440.4139150745884,36.43436138920819,1363.739164941947,32.184849044318895
Macaca fascicularis,2119.844558897633,17.986673981679587,2031.939287862724,16.382003451311324,2082.6950688041497,19.553151162244014,2271.7814996274765,16.99755823882901,2184.5956281758963,18.35460349486589,1562.925221405964,39.104161469537814,1742.1953355398591,31.81487822501958,1768.209396895123,31.942544786656658
Takifugu rubripes,1640.8816194743463,2.6181941941199964,1667.9361500133173,4.401582418620113,1647.0251832595663,2.9050453284872915,1678.4443970922587,2.4573995954352545,1638.3980936604514,2.371364717365679,1525.0719158656657,8.256306545952487,1549.0510145715918,8.033695673348328,1572.67627529016,8.481609510461732
Ralstonia solanacearum,1592.6995084167884,25.78832566046122,1553.9105983302914,29.772072747572565,1749.6708759498724,33.02900443877421,1537.5442202084807,28.133115316417214,1579.3170253795504,30.479280975310026,1516.3489799742495,22.911338523115052,1543.6308397198068,25.963517606801613,1530.7492044630678,25.12794700482462
Enterococcus faecalis,1641.566036492844,24.083016013104157,1567.2837428771818,23.148170726397122,1550.239060954274,22.837158758239735,1645.0502013065336,21.27713024564808,1637.9427202752374,26.303907819907703,1674.3681416838247,30.823382553674975,1707.253458462975,29.73905871725538,1681.76783413545,29.259364662492867
Petromyzon marinus,1532.3052927189174,10.14514486767546,1596.002619494501,17.54802113343819,1511.5413760249646,10.470143939825734,1321.4152673683418,12.126378871144617,1423.9235907413065,12.084644585307958,1365.1710204685799,12.264091938936167,1323.6045280099956,13.273378533620146,1310.9990322384788,15.052438476441282
Halalkalibacterium halodurans,1866.0698181497344,22.92768434129101,1798.136150892121,22.184895575157295,1768.7857960758179,22.30467231447978,1750.1304345263384,26.02049533643901,1870.7894939702376,22.59291868618452,1807.3440125299614,25.442499239911673,1750.092253025298,25.23151600200339,1712.4394399438143,25.46451191775925
Kluyveromyces lactis,1185.565250284189,15.49263007086784,1299.4277186244908,19.282548627924417,1184.4328934607934,13.16014393095087,1259.908139718469,17.73851849842917,1183.541257885003,17.009983298409864,1186.388696839094,22.360460491910736,1230.3000183455704,24.27073787654441,1230.0158710223025,22.569118267384056
Pongo abelii,2048.393039982251,19.304108541342636,1985.5496028604257,18.115740273150212,2018.077939868309,19.99484915825447,2141.520827214512,17.888794368977564,2094.625622635314,17.6456937521908,1606.9110381094226,31.809718338530967,1720.3728548702136,30.231433539397027,1747.6087689077651,27.698189310801574
Arabidopsis thaliana,1602.370852906862,15.328562139655213,1655.7004713450524,18.298438579026786,1560.4686165804562,15.140923911946562,1770.6654415955823,18.0105695219462,1684.2510447589634,16.64319515749756,1456.758951836725,20.865237171592337,1509.761696729542,21.439259423208902,1563.990877986659,20.777828222437876
Sinorhizobium fredii,1746.953678938744,19.792741064724936,1634.853532304184,26.756164235724057,1845.8291614367765,19.815146911591228,1722.9090625813976,20.742873842696092,1793.555709975631,22.193061922981332,1631.1072779808312,31.98111249026078,1624.8604710545987,27.949873819404285,1617.8306569008712,26.376564677198132
Pectobacterium atrosepticum,1852.3406524412876,18.262973802884353,1649.2690033470392,26.695334256426012,1786.2119216837746,16.91969110267328,1918.914607568689,18.572659622490217,1866.4429066491032,18.268285140879254,1701.7072074901107,23.838610118216284,1671.1405266054812,22.37805769131991,1683.6946885830723,24.21235808922167
Pasteurella multocida,1700.3808956984258,21.90427050942296,1538.0231466420469,24.920294473410838,1621.9138254341876,23.516080185548315,1673.1721290451212,22.14019487632324,1655.332782650663,21.898380862354788,1684.055781357459,25.222954439237377,1667.6091510259905,25.804702924097217,1679.7477062360779,23.11401613331297
Clostridium acetobutylicum,1410.607905513497,18.555823937832375,1459.4476312439333,23.457699373903832,1321.6997523200637,14.273453399599147,1309.394484608939,14.856457931200827,1374.9529947443284,16.881133863524294,1664.8767465935584,24.332937458423118,1611.7193640529167,26.7504139678523,1548.8533687952554,24.010659096292624
Bacillus licheniformis,1907.0181078286791,24.082674072353424,1793.1809938348495,21.046670145070923,1831.671295570249,22.17284511904579,1815.7302527474446,20.708159910125527,1882.2609951579996,22.882022953412235,1807.8949225547028,23.799166120979095,1766.3096879577788,24.512075573292027,1773.9273217713917,25.567595705488017
Pseudomonas aeruginosa,1742.5700038742443,25.916523320923325,1592.7565196592943,27.648041733864922,1791.0189600856984,22.555681031613222,1711.5077944801524,20.534971626488417,1756.460471213414,19.81364812552665,1665.6613120466031,29.033392460096437,1622.8951891253703,25.961256517472517,1633.2896886919793,24.916891925391184
Shewanella oneidensis,1646.836987571686,17.662472640559745,1506.1865344841672,23.147088357085096,1585.5719144422787,17.913310628156548,1583.4286412742888,15.36221245459626,1631.6047021604486,18.18318092360408,1622.151662816067,21.629015683849985,1578.897922907202,23.943194721673958,1560.1277147840235,19.619953891652944
Notamacropus eugenii,1575.6166324154142,4.203070744138864,1506.2218957196555,3.9004785031943654,1534.7777745387461,3.7826298917269696,1566.5639769094598,3.9304679755127854,1566.3883951070052,4.170870891005397,1384.03285997024,7.364633767084112,1423.5180632462764,6.087012802319969,1513.7437426982224,6.398425791589178
Paramecium tetraurelia,819.5385220207852,7.731032590676184,934.266100241533,8.051709068152423,892.9630657724463,8.004314176673555,755.6884990347453,7.777702638786394,787.266181706613,7.917338889303235,961.0835142818491,15.708655726536817,1031.472638457876,19.56867579454152,1062.4913552520347,17.112104858927623
Helicobacter pylori,800.2209359349297,13.890651334832514,930.8683098216429,18.10300011365831,785.2207408849486,13.971495361056212,827.5454497138828,14.550713033829316,814.4658782328656,13.955018638520329,1205.1016638135818,17.332308397297172,1230.8265782723442,22.10330803886966,1256.371022641399,30.80782327461661
Pyrococcus furiosus,818.7642076655263,12.625579874543787,1070.9057259971541,30.546803276032982,752.5648929543005,12.768852073673646,871.5236173704319,15.283429078925632,816.1696762238442,14.253903522917728,1580.5203797461477,32.41118976264493,1571.6801829652375,28.0614821536282,1597.6242452202737,28.11922071441832
Xylella fastidiosa,1109.680542434722,20.82513144865705,1143.1646705104372,19.64353719359403,1180.2720197004958,24.723488033039796,1001.1249822224665,18.392261264395117,1061.9985993858918,20.536246936807142,1321.8434282524645,24.216818802805975,1258.0535875237097,21.10735900533373,1213.6938638013748,23.452123006950263
